FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,Annual,AUT,Austria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A,Annual,AUT,Austria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A,Annual,AUT,Austria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A,Annual,AZE,Azerbaijan,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,12.0687726,12.55832698,13.04788136,13.53743573,14.02699011,14.04994848,13.96162211,13.86055885,13.7530244,13.63901875,13.51854192,13.3915939,13.25817469,13.11828428,12.82862334,12.43105531,11.72070292,11.01035054,10.29999815,9.589645764,8.879293378
A,Annual,AZE,Azerbaijan,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,18.66676954,19.59669997,20.52351408,21.4468334,22.36675979,23.12100788,23.68295256,24.18673445,24.39743142,24.50816483,24.60805925,24.69717328,24.77528518,24.84187106,24.71672828,24.52326138,23.65736781,22.78796404,21.9151199,21.03918997,
A,Annual,BEL,Belgium,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,73.8443161,73.84454522,73.84478576,73.84502393,74.72610712,75.60718557,76.48826649,77.3693425,78.25042552,79.13136904,80.01221709,80.89307217,81.77391689,82.65476737,83.53561715,84.41646718,85.29732015,86.1781663,87.05901486,87.93986502,88.82071008
A,Annual,BGD,Bangladesh,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,15.24151079,16.34643197,17.45135315,18.55627433,19.66119551,20.92879654,22.20477099,23.49691663,24.80622074,26.13268333,27.47630438,28.8370839,30.2150219,31.61011836,33.0223733,34.4517867,35.89835858,37.36208892,38.84297774,40.34102503,41.85623079
A,Annual,BGD,Bangladesh,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,25.49803172,26.2674779,27.03692409,27.80637028,28.57581646,28.9236661,29.26624366,29.60354917,29.9355826,30.26234398,30.58383329,30.90005053,31.21099571,31.51666883,31.81706988,32.11219887,32.40205579,32.68664065,32.96595344,33.23999417,33.50876284
A,Annual,BGD,Bangladesh,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,17.66102355,18.73700671,19.82435712,20.90848136,21.98915954,23.07214054,24.14787637,25.22124717,26.29209359,27.35956418,28.42291983,29.48124444,30.533663,31.57950162,32.6181748,33.64912089,34.67175069,35.68556584,36.69010606,37.68488358,38.66941874
A,Annual,BGR,Bulgaria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,44.5426383,44.1534601,43.7642819,43.3751037,42.98592549,42.59674729,42.20756909,41.81839089,41.42921268,42.063793,43.42905243,45.03944264,46.72041406,48.47196669,50.29410052,52.18681556,54.1501118,56.18398926,57.48762658,58.79126324,60.09489924
